id;tracking_code;date;details;invoice_id
1;Account;2023-06-27T19:47:21;salmon;1
2;synthesizing Buckinghamshire program;2023-06-28T12:35:32;Wooden;2
3;architecture Tenge;2023-06-27T21:20:17;Diesel Representative female;3
4;Investor indexing female;2023-06-27T16:19:14;speedy;4
5;soggy Borders;2023-06-27T21:43:18;parse magenta transsexual;5
6;Indiana;2023-06-27T21:11:32;Cambridgeshire programming;6
7;Officer;2023-06-28T06:16:42;Kroon Belize;7
8;Wyoming Enhanced indeed;2023-06-28T01:11:54;interface;8
9;Coupe Southeast;2023-06-28T09:26:29;Saint mutate;9
10;faithfully payment;2023-06-27T21:29:49;compelling;10
