id;name;description;price;item_size;image;image_content_type
1;Refined;New;64714;XL;../fake-data/blob/hipster.png;image/png
2;offensively male;framework Northeast Hybrid;22082;L;../fake-data/blob/hipster.png;image/png
3;Country;Direct Hybrid;62566;L;../fake-data/blob/hipster.png;image/png
4;quisquam paralyse Rubber;scalable;28160;XL;../fake-data/blob/hipster.png;image/png
5;City obsession Ohio;Jailyn San acidly;88519;XXL;../fake-data/blob/hipster.png;image/png
6;Specialist Praseodymium;Convertible;30245;XL;../fake-data/blob/hipster.png;image/png
7;wireless Volkswagen;female IP;1059;M;../fake-data/blob/hipster.png;image/png
8;Oriental Oxygen Jazz;capitalism ha;44481;XL;../fake-data/blob/hipster.png;image/png
9;Ergonomic;Data poncho;28993;M;../fake-data/blob/hipster.png;image/png
10;gosh protocol volt;infomediaries withdrawal;67;L;../fake-data/blob/hipster.png;image/png
