id;placed_date;status;code;invoice_id;customer
1;2023-06-28T06:38:45;COMPLETED;payment;62123;Sedan Account lime
2;2023-06-28T05:19:30;CANCELLED;Southeast Rue righteously;20210;services
3;2023-06-27T14:56:00;CANCELLED;violet kilogram;65185;Soap
4;2023-06-28T01:00:37;COMPLETED;Southwest Nampa;44459;Gold
5;2023-06-28T00:06:23;CANCELLED;transition invoice;98861;payment Polygender Chandler
6;2023-06-27T22:08:25;PENDING;Polarised;67811;Jett
7;2023-06-28T08:34:41;PENDING;Persevering;30803;questioningly
8;2023-06-28T07:02:49;COMPLETED;parsing;13259;generate
9;2023-06-28T03:30:00;PENDING;ut male Bacon;90591;knowingly male
10;2023-06-28T05:19:48;CANCELLED;female;20;Card compelling determined
